ID,Expiry,Election,Spot_0.9,Mean_0.9,Mean_0.2,Spot_0.1,Mean_0.1,Spot_0
538018,0,1,27.1,28.82763158,9.712121212,10,9.40625,0.5
654323,0,0,2.2,3.53,9.633333333,8,10.05714286,10
211999,0,1,19.2,12.32715517,16.70196078,16,16.716,20.5
758364,100,1,97.8,81.9,76,85,70,70
758365,0,1,3,17.99166667,19.75,18.5,21,21
755810,0,1,24,44.9,67.6,60,60,60
483471,0,1,47,21.34816514,23.475,23.5,21.9875,20
670364,0,0,1.3,6.392035398,10.372,8,9.333333333,10
405844,100,0,96.9,37.59166667,18.3125,25,13.375,13
607612,0,0,5,1.575280899,2.552631579,3,3.166666667,3.5
416527,0,1,30.5,40.9959375,40.39084507,38.5,39.4084507,40
92667,0,0,10,10.1671875,10.64642857,12,9.071428571,7
317690,0,1,13.9,26.44204545,38.17068966,40,41.30689655,49
390334,0,1,1.2,4.815384615,7.335849057,7,9,10
416546,0,1,25,43.20496894,50.47202797,50,48.87323944,40
710741,0,0,6.3,21.9671521,32.37956204,28,36.82352941,40
412772,0,0,0.1,0.188410596,0.446268657,0.3,0.414925373,1
25880,0,1,16,40.11869565,63.34313725,64,65.39215686,72
379741,0,1,0.1,10.53824324,10.49207317,13.5,11.05243902,5.5
757536,0,1,57.5,42.51111111,45,45,45,45
538040,100,1,55,15.43372093,7.478947368,9,8.677777778,0.1
749797,0,1,5,24.72673797,43.85609756,50.5,33.19,27.9
664245,0,1,80.5,53.97226277,20,20,20,20
658698,0,0,2.5,11.63461538,28.69090909,6.2,51.4,40
440313,0,0,9,9.711090226,10.31525424,7,13.56779661,20
439495,0,0,3.1,7.466542056,8.12605042,7.1,9.538983051,12
756501,0,1,37.5,27.64722222,1.85,0.3,0.166666667,0.1
177135,0,0,0.1,2.461394972,5.467518248,5.7,5.983823529,28
442032,0,0,14,15.21455224,19.41176471,17.5,20.74576271,20
25910,0,1,60,53.27391304,67.49019608,67,68.45098039,67
317599,0,1,15.5,42.91716418,52.23728814,53,52.79310345,49
757549,0,1,4.5,21.31111111,19.875,11,28.75,50
25903,0,1,18.2,23.65673913,34.24509804,34,34.49019608,37
749539,100,1,84.9,62.33051948,53.47058824,57,49.94117647,37
483464,100,1,60,23.12757009,19.71489362,21.5,17.58695652,15
416488,100,1,72.2,85.61327014,82.71428571,85,79.85714286,40
180403,0,0,0.1,0.509213863,1.312927757,1,1.251908397,1
